0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-45.92057013388239,-211.94713326767143,-216.8251250801933,-196.94287460063046,-178.21714970021168,-184.00897761094674,-183.5818983132871,-137.80303642299222,-247.58666012710253,-186.77943937994075,-241.31976022708318,-172.74002248811797,-185.53801185981266,-167.47332987755897,-178.17943133605843,-141.8325908613489,-138.68637372299057,-146.2124401637035,-164.4793216585801,-152.78617306982954,-140.58324219433086,-133.51547328230936
-43.908832286302186,-211.15065153736904,-219.14311208372055,-195.9634393487057,-178.7091206180696,-183.1559946132506,-182.39446499829197,-137.60509861119905,-245.66333043756208,-186.32238506482332,-240.7106041458564,-172.14493149076625,-183.95575976385706,-168.4889407380848,-177.56155687381812,-142.7678619222402,-138.2273876804968,-146.51505979295254,-163.22981549371355,-152.80920798042925,-140.05399155706968,-131.96878660823342
-41.89709443872243,-211.58354993590552,-217.5179237097118,-196.99226343513766,-179.04946381112154,-182.52311324937762,-183.3763802509172,-137.82652559608795,-246.9292624672009,-186.85731867259696,-240.97700761825084,-172.1151870353207,-183.89574221487987,-167.88666694475637,-178.27630758819052,-143.52327032688206,-138.10875942301462,-146.0643303547113,-161.44007054654318,-152.9927655310457,-141.05677391395872,-132.3495148532366
-39.88535659114268,-212.63278891796546,-216.39065737529833,-197.76399623293074,-178.13148516807755,-183.96029770233258,-183.7607838380714,-137.67921726980177,-247.8278780645703,-187.56611710821082,-241.17488777169683,-172.14598053104928,-184.39959407783266,-168.22097489907182,-178.41355886735883,-143.5386017233675,-138.0212563108752,-146.97508478223935,-161.97671074488954,-152.6374889206582,-141.34271920926196,-133.35927853190145
-37.87361874356293,-212.7045830452931,-217.38071045727443,-197.486724647107,-176.92682220339165,-185.60483571847755,-182.9311497809546,-137.39808970791566,-246.9032993592835,-188.0314194038617,-240.58062069065483,-172.07965600042795,-184.71493192801188,-169.2015822535922,-177.22919465046508,-142.89617808238006,-137.99692475853487,-148.62735489985673,-163.2490903304988,-152.08350313105805,-140.4558836910428,-133.4551622859425
-35.86188089598318,-210.71822981351244,-217.85720325062007,-197.24749989328114,-177.5532793356178,-183.6106063642472,-182.94484810570827,-137.85900148799035,-246.02005216682895,-188.35248819911163,-239.48238435418202,-172.13479088863457,-184.9563254217172,-167.97445899294425,-176.04933091325057,-142.19502339447837,-138.18829751959436,-147.99978563715285,-161.2051578431566,-152.30858753217976,-140.00875544973067,-132.29576747273978
-33.850143048403424,-210.6361434732262,-217.9965754849245,-196.76587345355009,-178.55832483030173,-182.42735695059488,-183.38277123539848,-138.15413562517074,-246.12047318794686,-188.01919306576303,-239.57642954702195,-171.8221964815559,-185.28777680481429,-166.82735733123923,-176.5670300496871,-142.34306764017174,-137.65362844557146,-146.72424070806454,-160.53505483141137,-152.47357123210315,-139.74915299734198,-132.6539648439383
-31.838405200823672,-212.46766252548014,-218.22302408788497,-196.54729347817903,-179.00390966274722,-184.27322625925166,-183.62948253807588,-137.90230605590003,-247.17208865687508,-187.41340931264776,-240.80205969311822,-171.39875279209542,-185.68978277031894,-167.21114153766456,-178.22757471402176,-143.38266515565138,-136.9787691508614,-146.7161305870768,-162.583743056257,-152.31751598039818,-139.88697326216106,-134.40528172240704
-29.826667353243465,-211.738388358295,-218.36195167740735,-197.8648778446847,-179.3793930153444,-186.320379808484,-183.78665061528582,-137.7621394155874,-248.3200956469229,-187.76403327608827,-241.20645281563517,-171.84889746695785,-185.95972793586031,-168.0363783149215,-178.51083636242086,-144.29654440479854,-138.10302172512007,-148.31789467461877,-163.14742309162787,-152.59243051293967,-141.17215181903208,-134.13453715797743
-27.814929505663713,-212.10737565678653,-218.4100422770935,-199.03262162809068,-178.79249633312418,-186.26360900613273,-184.6690112275567,-137.77019943903747,-248.576221542649,-188.3950823643583,-241.61115233039308,-172.36468162675627,-186.06350453777148,-168.40288386362164,-178.48440276996826,-144.2099340779135,-139.18753213965033,-149.64061202195055,-163.19639977925826,-152.93350416239733,-141.36728995467897,-133.42873623169314
