0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-45.92057013388239,-41.05918389385719,-148.27348467541262,-57.741914552815146,-88.60738854884418,-73.51841451098223,-133.5851292676443,-109.2500549515137,-628.0642285248962,-357.08695646648994,-521.7576744539928,-327.86795954460587,-364.8582710486548,-639.0355208342677,-396.85092105411053,-87.78009797457493,-71.5155930827838,-88.44087316126436,-74.13131291397903,-89.47640477984092,-83.69072937288628,-55.172055507820765,-336.7028953952011,-446.8462355962206,-418.4216841532389,-427.8457604622225,-409.34602613166834,-223.9169721312031,-243.13535919264373,-47.43227429244813,-101.9296499204713,-112.17037572306045,-69.57294950887962,-72.15439999470024,-102.41265418109163,-74.7582360991343
-43.908832286302186,-40.65320948858204,-148.49257343307607,-55.217358403281985,-88.2414598973707,-71.88423811290362,-132.44636237568437,-106.06873548583071,-628.5778589705363,-356.497602440279,-520.4922906692324,-326.8085864337252,-362.69694855668837,-638.26557473678,-397.5298455265945,-86.6512251819292,-69.85113751401862,-87.85084133797277,-72.26349556935301,-88.96338022892567,-82.72267574180572,-55.193038743963214,-336.6334564210958,-447.30194736040704,-417.74380242405647,-427.5643110664624,-407.9753699468623,-222.7228114569938,-244.5773734894232,-45.4755887927766,-100.74461958851322,-112.48889250785857,-65.89689135357709,-72.1361475553734,-102.64813309081127,-74.51326639368173
-41.89709443872243,-41.28252803816245,-148.71016538206274,-56.26319467389486,-88.31725902213263,-71.79415886446004,-132.48961453890885,-105.94219322824104,-626.697491862393,-356.7231969958182,-519.9296484199989,-327.3743522884497,-360.7369976388182,-637.7289537764315,-396.5680435228091,-86.58466617520759,-69.87117046444514,-87.16201856510101,-72.12550999187306,-87.3824555791329,-82.45908017621784,-54.8092127554971,-337.376244606923,-446.83921305466475,-417.1095860235968,-428.24933436541113,-406.5011987647106,-222.3914321022385,-243.68734750688924,-44.907736873370474,-101.07407383233604,-112.48828115899329,-65.52112432223637,-71.81108216807601,-102.75734110929932,-74.24661929500783
-39.88535659114268,-42.20083515585391,-147.9633684451047,-58.67433226440542,-88.62487363370363,-72.41108143713122,-132.85882655587676,-108.10602016809487,-625.1506278131839,-356.6891686261946,-520.2434089825634,-328.44749050794957,-360.6635259415085,-638.415683853718,-395.16891862690363,-87.28874273268167,-70.91091508235829,-87.35725826640859,-73.45448156798099,-86.72571382189491,-83.09104556341008,-54.45028852272721,-338.17947343248665,-446.05128861621984,-416.64156707255654,-428.22311029542703,-406.6964729204506,-222.56675510106737,-241.50697658812976,-45.708978014816914,-101.31007124636172,-112.4265830521409,-67.39028131935092,-71.86646338094766,-102.8221718726586,-74.26160986622796
-37.87361874356293,-42.59860745819868,-146.4673160484541,-57.73346703792966,-88.58964296899161,-71.90420941622364,-132.14560072870063,-108.42360808684435,-626.9411963359169,-355.2956622138341,-520.978590579426,-328.02455941985363,-362.0151953963682,-639.939660871651,-396.1501260577017,-87.59753992568757,-70.68917761059092,-88.7934908880626,-73.78224383520582,-88.4124524572115,-83.58040099125672,-54.3501651863709,-338.7341377890519,-446.54669270416116,-416.565873853397,-425.6628278455572,-408.9173344298798,-222.1969872199171,-241.23092160278455,-45.68484022428112,-99.10407370326503,-112.80672490205598,-66.96962970063167,-73.31910745026912,-103.00319337446689,-74.53382141132751
-35.86188089598318,-43.09489317895313,-146.39888079155747,-56.496220838658225,-88.13091343332921,-71.80041500632893,-132.0009250677222,-107.71801597907836,-626.8148836056787,-356.14030663191664,-520.514755710053,-327.60834595247604,-362.0360823841051,-638.5591024856681,-396.6917507104095,-86.28438970783883,-69.73256772993479,-88.84817580746969,-72.52717909719708,-88.16931944993006,-82.77660007711928,-54.38368196308868,-337.915344506406,-447.36833688344717,-416.99646582744526,-425.1675422988544,-409.08554206412214,-220.9100694865136,-241.7261807011789,-44.982203197797375,-98.54635105734381,-112.44985936544596,-66.72205456940439,-73.2939246199446,-102.5417969086522,-74.56858878762033
-33.850143048403424,-43.345913385239996,-147.6203338786011,-56.85704662571555,-87.98101302818422,-72.21040629103106,-132.63036298598573,-107.54775440686188,-625.3526911335051,-358.1691471521843,-519.5391795733821,-327.23508161517753,-360.73960891641303,-636.0238666513841,-396.1777372283538,-84.95162487040965,-69.29290515437648,-87.40326262132209,-71.39612471983473,-86.78961919680262,-81.65647040802389,-54.26380697861856,-336.82390649341545,-447.67727811251456,-417.8522966621815,-426.8755143896378,-407.45926386253103,-220.4951695853012,-241.87071277867207,-44.4314936525241,-100.30269143970006,-112.14742137514207,-67.16834427849648,-71.81176738428124,-102.08686861242808,-74.48334184594721
-31.838405200823672,-42.66206620746087,-148.28971476556072,-58.26717268744441,-88.80486034438184,-72.11167931002473,-132.9359825749392,-108.63298431932637,-626.7705519946574,-357.7411157520741,-520.1221323852126,-326.34541814518553,-360.419641956961,-636.9567904919702,-396.32728213257,-86.09067804758962,-70.16817280915362,-86.57665145737889,-72.37915556741828,-88.00352547446556,-82.15202249131355,-53.94000835324362,-337.4445958563448,-447.24065781593055,-418.7733918907406,-427.3380692384274,-407.24301374897163,-222.74026945743722,-241.39266136057907,-44.8701241457336,-101.6745090505174,-113.36974518388958,-66.93292623145513,-71.34284778429658,-102.8050337206754,-74.7148295944291
-29.826667353243465,-42.40938520491147,-148.04501740564382,-58.878539413848294,-89.14428767778587,-72.08671389866906,-132.83089461346543,-109.30056204596471,-627.9070014060139,-357.254285438886,-522.122385798288,-327.80278472461805,-362.33737668592545,-639.1988885946355,-397.96050110993343,-87.54094549215,-71.05561156970788,-87.71061170225306,-73.20606867191171,-89.11660938549778,-83.58901040761697,-54.38860282159105,-338.33774116530765,-446.38200909285035,-418.97543950534435,-426.23721080188494,-407.76121120966366,-224.0310181594277,-240.79661313125095,-46.372161076390626,-101.09601917120796,-113.82288153080705,-66.8292736904061,-72.80531603669068,-103.39098068631239,-74.90799380808821
-27.814929505663713,-42.601685497921274,-147.48358034103245,-58.796521923036195,-88.99757345324097,-72.55214079832696,-133.0702602216514,-108.80977003339385,-627.2516513344287,-357.9495729819443,-523.6375430981353,-329.99595913785606,-364.3171357553712,-640.0063494518197,-399.2823676819597,-87.76449591086975,-71.67056443603498,-89.31456637459121,-73.00318366808241,-89.11909662255513,-84.7140447332178,-55.70386024715482,-338.2871188634111,-446.6213967484088,-418.60325279856363,-425.59110853495895,-408.50855596431177,-223.44693759188036,-240.79378552513492,-47.5973789571736,-100.27336563136174,-112.93081742659523,-67.1954484256618,-74.39673192958604,-103.16558291448716,-74.88101205286023
